hotel_id,hotel_name,district,overall_safety,women_safety,family_safety,night_safety,harassment_reports,theft_reports,last_updated
H00067,Amangalla Kegalle,Kegalle,3.95,3.19,4.63,4.02,12,3,2024-07-11
H00068,Villa Rosa Ampara,Ampara,3.68,3.67,4.04,3.23,14,5,2024-09-12
H00069,Cinnamon Grand Kilinochchi,Kilinochchi,2.66,1.94,3.0,2.2,1,5,2024-05-07
H00070,Jetwing Blue Gampaha,Gampaha,3.67,3.01,4.35,3.06,15,2,2024-04-20
H00071,Lighthouse Hotel Jaffna,Jaffna,1.58,2.22,1.38,1.83,5,6,2024-01-07
H00072,Tintagel Colombo Sigiriya,Sigiriya,1.92,1.59,1.71,1.11,13,1,2024-09-20
H00073,Jetwing Blue Kalutara,Kalutara,3.78,4.66,4.33,3.61,0,7,2024-05-19
H00074,Araliya Beach Kandy,Kandy,1.58,2.24,1.03,1.5,4,9,2024-07-23
H00075,Araliya Beach Ampara,Ampara,3.78,2.84,3.15,2.79,0,5,2024-02-18
H00076,Lighthouse Hotel Monaragala,Monaragala,3.27,2.52,3.43,2.65,7,10,2024-01-27
H00077,Araliya Beach Polonnaruwa,Polonnaruwa,1.89,1.25,1.47,2.0,9,3,2024-03-26
H00078,Cinnamon Grand Jaffna,Jaffna,1.78,1.5,1.98,2.04,1,9,2024-11-24
H00079,Villa Rosa Gampaha,Gampaha,2.86,2.13,2.63,2.88,12,2,2024-02-24
H00080,Amangalla Trincomalee,Trincomalee,3.66,2.88,4.35,4.03,11,8,2024-08-08
H00081,Amangalla Ratnapura,Ratnapura,2.21,2.11,2.23,2.65,9,2,2024-04-18
H00082,Villa Rosa Matale,Matale,1.88,1.3,1.68,1.04,2,0,2024-02-20
H00083,Cinnamon Grand Ella,Ella,1.57,2.37,1.84,1.4,11,6,2024-09-16
H00084,The Kandy House Jaffna,Jaffna,4.41,5.28,4.99,3.26,8,10,2024-03-20
H00085,Kings Pavilion Colombo,Colombo,4.87,5.75,5.22,4.21,5,9,2024-12-06
H00086,Jetwing Blue Galle,Galle,3.61,4.48,3.12,3.59,0,6,2024-07-12
H00087,Villa Rosa Sigiriya,Sigiriya,3.7,4.29,3.07,3.32,11,10,2024-02-04
H00088,Tintagel Colombo Mirissa,Mirissa,3.05,2.34,3.79,2.38,1,3,2024-11-08
H00089,Amangalla Puttalam,Puttalam,2.88,3.6,2.51,2.32,11,3,2024-09-03
H00090,The Kandy House Matara,Matara,3.19,3.27,2.71,2.0,12,6,2024-01-31
H00091,Kings Pavilion Anuradhapura,Anuradhapura,2.54,2.73,3.06,2.87,2,3,2024-07-07
H00092,Lighthouse Hotel Kilinochchi,Kilinochchi,2.8,1.92,2.82,2.23,3,9,2024-05-30
H00093,Araliya Beach Matale,Matale,2.73,1.99,3.18,2.08,10,10,2024-09-23
H00094,98 Acres Resort Colombo,Colombo,3.58,4.53,3.32,3.85,11,3,2024-06-07
H00095,Villa Rosa Negombo,Negombo,1.6,1.23,2.33,0.89,5,10,2024-06-02
H00096,Cinnamon Grand Badulla,Badulla,4.77,5.22,4.98,4.52,9,10,2024-11-04
H00097,Amangalla Vavuniya,Vavuniya,2.69,2.27,2.51,2.15,12,6,2024-01-02
H00098,Tintagel Colombo Kalutara,Kalutara,3.49,2.82,3.2,2.71,3,5,2024-03-05
H00099,Araliya Beach Kurunegala,Kurunegala,3.15,2.56,3.17,3.48,2,4,2024-10-20
H00100,Lighthouse Hotel Kandy,Kandy,4.49,5.08,3.71,4.71,8,3,2024-11-02
H00101,The Kandy House Polonnaruwa,Polonnaruwa,4.27,4.52,5.01,3.97,8,4,2024-08-12
H00102,Tintagel Colombo Trincomalee,Trincomalee,4.01,4.02,4.33,4.33,15,1,2024-04-08
H00103,Jetwing Blue Ella,Ella,2.59,3.22,2.47,2.5,10,0,2024-06-08
H00104,Cinnamon Grand Matara,Matara,3.48,4.09,3.46,3.19,5,4,2024-02-06
H00105,Amangalla Badulla,Badulla,4.1,3.13,4.57,4.15,10,0,2024-11-23
H00106,Villa Rosa Trincomalee,Trincomalee,3.99,3.01,3.42,2.86,1,0,2024-11-23
H00107,Amangalla Monaragala,Monaragala,3.55,3.87,3.73,2.84,1,4,2024-11-24
H00108,Araliya Beach Kurunegala,Kurunegala,4.04,3.15,4.28,3.11,12,6,2024-09-19
H00109,Kings Pavilion Anuradhapura,Anuradhapura,4.92,4.83,5.33,4.89,6,0,2024-04-05
H00110,The Kandy House Ampara,Ampara,3.11,2.16,2.41,3.58,15,6,2024-08-09
H00111,Araliya Beach Batticaloa,Batticaloa,4.52,3.64,5.05,4.72,4,1,2024-11-10
H00112,Jetwing Blue Negombo,Negombo,3.02,4.01,3.35,2.41,15,2,2024-05-04
H00113,Kings Pavilion Ampara,Ampara,3.17,2.55,3.72,3.29,14,3,2024-08-02
H00114,Tintagel Colombo Hambantota,Hambantota,1.95,1.92,2.38,1.23,15,4,2024-05-22
H00115,Cinnamon Grand Batticaloa,Batticaloa,4.92,5.45,4.44,4.08,11,4,2024-03-13
H00116,Lighthouse Hotel Ella,Ella,1.97,2.29,2.43,0.78,13,1,2024-09-01
H00117,Jetwing Blue Colombo,Colombo,2.95,1.98,2.96,3.35,15,2,2024-01-19
H00118,The Kandy House Kegalle,Kegalle,2.12,2.29,2.3,1.67,1,5,2024-03-03
H00119,Jetwing Blue Mirissa,Mirissa,2.3,3.23,2.61,2.06,0,9,2024-05-03
H00120,98 Acres Resort Batticaloa,Batticaloa,1.94,1.46,1.57,1.78,7,1,2024-09-09
H00121,Villa Rosa Galle,Galle,2.41,2.38,2.67,2.84,15,0,2024-03-10
H00122,98 Acres Resort Kandy,Kandy,3.3,3.8,2.61,2.96,8,1,2024-12-08
H00123,Amangalla Kurunegala,Kurunegala,2.45,2.08,2.04,1.54,4,7,2024-04-20
H00124,Lighthouse Hotel Mannar,Mannar,3.49,3.27,3.65,3.82,13,10,2024-08-02
H00125,Jetwing Blue Batticaloa,Batticaloa,3.27,4.17,3.79,3.55,9,1,2024-04-27
H00126,Cinnamon Grand Matara,Matara,1.73,1.66,2.09,2.05,4,1,2024-12-07
H00127,Jetwing Blue Hambantota,Hambantota,4.44,5.05,4.75,3.71,5,1,2024-01-11
H00128,Jetwing Blue Puttalam,Puttalam,1.51,1.77,1.33,1.91,7,8,2024-06-09
H00129,Amangalla Negombo,Negombo,4.17,3.23,3.68,3.29,1,2,2024-04-03
H00130,Jetwing Blue Badulla,Badulla,3.27,4.19,2.75,3.72,9,4,2024-09-01
H00131,The Kandy House Kandy,Kandy,2.24,1.81,1.86,1.07,11,4,2024-12-07
H00132,Kings Pavilion Polonnaruwa,Polonnaruwa,3.0,3.53,2.22,1.83,14,5,2024-01-30
H00133,Cinnamon Grand Gampaha,Gampaha,4.4,3.6,4.42,4.57,9,7,2024-10-27
H00134,Villa Rosa Kilinochchi,Kilinochchi,3.69,3.35,4.14,2.49,11,6,2024-07-22
H00135,Lighthouse Hotel Gampaha,Gampaha,1.8,0.87,1.02,1.71,5,1,2024-07-30
H00136,Tintagel Colombo Gampaha,Gampaha,2.16,1.47,2.23,1.04,3,4,2024-06-04
H00137,Cinnamon Grand Kegalle,Kegalle,2.66,1.91,2.18,3.13,13,9,2024-11-15
H00138,Araliya Beach Hambantota,Hambantota,4.7,3.84,4.77,4.53,6,1,2024-06-30
H00139,Jetwing Blue Jaffna,Jaffna,1.64,1.58,1.06,1.82,11,10,2024-08-09
H00140,Cinnamon Grand Ella,Ella,2.61,1.9,2.81,1.47,3,10,2024-03-29
H00141,Cinnamon Grand Vavuniya,Vavuniya,4.4,3.82,3.63,4.19,14,7,2024-01-05
H00142,Cinnamon Grand Puttalam,Puttalam,2.27,2.3,1.52,1.92,12,0,2024-09-07
H00143,The Kandy House Kandy,Kandy,3.66,4.42,4.38,3.36,8,1,2024-03-12
H00144,Cinnamon Grand Negombo,Negombo,1.63,0.71,1.07,1.05,6,9,2024-10-27
H00145,98 Acres Resort Kalutara,Kalutara,3.92,4.02,4.56,3.6,0,10,2024-02-08
H00146,Tintagel Colombo Matale,Matale,3.46,3.17,2.94,3.55,12,5,2024-02-27
H00147,Lighthouse Hotel Ratnapura,Ratnapura,3.85,2.96,4.53,3.64,6,5,2024-08-17
H00148,Villa Rosa Gampaha,Gampaha,2.18,1.85,2.08,1.92,11,9,2024-01-05
H00149,Jetwing Blue Kegalle,Kegalle,2.76,3.54,2.87,1.64,1,9,2024-11-28
H00150,Villa Rosa Monaragala,Monaragala,3.72,3.33,4.09,2.54,7,7,2024-10-22
H00151,98 Acres Resort Negombo,Negombo,3.45,3.02,2.73,3.5,10,1,2024-02-09
H00152,Jetwing Blue Ella,Ella,3.12,3.05,2.33,2.8,10,8,2024-12-10
H00153,Jetwing Blue Polonnaruwa,Polonnaruwa,2.16,2.48,1.7,1.31,9,1,2024-12-12
H00154,Tintagel Colombo Ella,Ella,4.44,5.31,4.23,4.46,2,3,2024-04-18
H00155,Jetwing Blue Monaragala,Monaragala,1.69,0.96,1.89,1.39,15,2,2024-09-04
H00156,Cinnamon Grand Matale,Matale,2.77,2.21,2.71,1.6,13,1,2024-10-17
H00157,Lighthouse Hotel Batticaloa,Batticaloa,2.96,2.53,3.21,2.68,10,5,2024-02-04
H00158,Tintagel Colombo Colombo,Colombo,4.6,3.65,5.19,5.05,1,7,2024-01-10
H00159,Amangalla Kurunegala,Kurunegala,2.86,3.6,2.43,2.87,13,6,2024-07-09
H00160,Jetwing Blue Mannar,Mannar,3.45,3.26,2.97,3.75,13,9,2024-06-03
H00161,Amangalla Trincomalee,Trincomalee,3.05,3.43,3.43,3.04,7,10,2024-02-10
H00162,Jetwing Blue Kegalle,Kegalle,4.4,5.14,4.08,4.61,5,9,2024-07-21
H00163,Villa Rosa Jaffna,Jaffna,4.83,5.74,4.94,4.03,5,4,2024-08-22
H00164,Araliya Beach Batticaloa,Batticaloa,4.04,4.83,3.46,2.99,1,3,2024-12-18
H00165,Araliya Beach Ampara,Ampara,4.06,4.41,4.0,3.08,7,7,2024-05-24
H00166,98 Acres Resort Vavuniya,Vavuniya,2.78,2.73,3.11,2.52,10,0,2024-09-03
H00167,Araliya Beach Trincomalee,Trincomalee,3.02,2.89,2.79,2.62,9,9,2024-05-24
H00168,Jetwing Blue Kandy,Kandy,2.33,2.65,1.94,2.02,14,0,2024-07-15
H00169,Tintagel Colombo Ampara,Ampara,2.02,1.29,2.59,1.77,15,3,2024-12-30
H00170,Jetwing Blue Galle,Galle,1.99,2.88,2.19,2.2,10,8,2024-11-05
H00171,Lighthouse Hotel Kurunegala,Kurunegala,4.33,3.48,3.58,4.21,13,3,2024-03-22
H00172,The Kandy House Ratnapura,Ratnapura,1.73,1.03,1.79,1.34,5,0,2024-06-10
H00173,Jetwing Blue Ratnapura,Ratnapura,2.1,1.35,2.55,1.28,4,8,2024-03-31
H00174,Araliya Beach Badulla,Badulla,4.98,4.28,4.22,5.35,3,5,2024-03-31
H00175,Kings Pavilion Matale,Matale,4.9,4.71,4.19,4.97,4,3,2024-07-25
H00176,The Kandy House Badulla,Badulla,1.72,0.97,1.24,1.43,7,0,2024-03-11
H00177,Araliya Beach Kegalle,Kegalle,4.15,4.08,4.47,3.36,14,7,2024-02-17
H00178,Araliya Beach Gampaha,Gampaha,4.48,4.56,4.05,4.25,2,0,2024-03-20
H00179,Amangalla Batticaloa,Batticaloa,3.07,3.48,2.67,2.85,8,1,2024-04-21
H00180,98 Acres Resort Jaffna,Jaffna,4.06,3.1,3.71,4.27,0,7,2024-02-26
H00181,98 Acres Resort Mannar,Mannar,4.82,4.32,4.7,4.77,0,6,2024-01-23
H00182,Cinnamon Grand Badulla,Badulla,1.6,2.48,1.35,1.21,7,10,2024-03-03
H00183,98 Acres Resort Ella,Ella,3.85,3.79,3.93,3.9,4,8,2024-07-15
H00184,Kings Pavilion Hambantota,Hambantota,4.95,4.69,4.89,5.27,4,6,2024-08-06
H00185,Lighthouse Hotel Sigiriya,Sigiriya,3.51,4.45,3.21,3.05,13,8,2024-01-18
H00186,Tintagel Colombo Mirissa,Mirissa,2.34,1.98,2.43,1.8,12,0,2024-07-12
H00187,Araliya Beach Matale,Matale,3.54,4.42,3.09,2.95,14,5,2024-05-01
H00188,Amangalla Ampara,Ampara,3.02,3.04,3.14,3.35,14,5,2024-04-08
H00189,Tintagel Colombo Kandy,Kandy,2.84,3.46,2.96,2.78,0,9,2024-10-17
H00190,Lighthouse Hotel Anuradhapura,Anuradhapura,4.38,3.89,4.02,4.19,5,4,2024-09-27
H00191,Tintagel Colombo Kandy,Kandy,2.07,1.96,1.98,2.49,6,3,2024-02-29
H00192,Amangalla Puttalam,Puttalam,3.27,3.42,3.88,2.19,6,8,2024-07-27
H00193,Kings Pavilion Kalutara,Kalutara,4.72,4.62,5.23,4.99,14,1,2024-01-25
H00194,Kings Pavilion Kandy,Kandy,2.3,2.45,2.26,2.46,15,10,2024-09-29
H00195,98 Acres Resort Kurunegala,Kurunegala,3.8,3.3,4.48,3.1,14,6,2024-07-16
H00196,Villa Rosa Puttalam,Puttalam,4.51,4.43,4.88,4.12,8,7,2024-12-18
H00197,Jetwing Blue Sigiriya,Sigiriya,1.66,2.32,0.96,0.96,9,9,2024-01-23
H00198,Lighthouse Hotel Ella,Ella,3.78,4.61,4.22,2.94,8,9,2024-10-20
H00199,Jetwing Blue Kalutara,Kalutara,1.68,1.29,2.18,0.66,5,5,2024-12-11
H00200,Araliya Beach Kegalle,Kegalle,4.33,3.73,3.9,4.35,9,8,2024-10-16
H00201,Araliya Beach Ratnapura,Ratnapura,3.3,3.32,3.14,2.76,3,7,2024-02-27
H00202,Amangalla Mirissa,Mirissa,2.2,2.32,1.59,2.25,0,7,2024-07-06
H00203,Kings Pavilion Mannar,Mannar,3.96,3.4,3.59,2.8,14,10,2024-07-13
H00204,Kings Pavilion Polonnaruwa,Polonnaruwa,1.99,2.42,1.29,1.47,7,1,2024-10-21
H00205,Tintagel Colombo Negombo,Negombo,4.57,3.7,4.33,4.79,9,3,2024-07-21
H00206,Cinnamon Grand Vavuniya,Vavuniya,3.19,4.13,2.62,2.38,8,7,2024-05-08
H00207,The Kandy House Matara,Matara,1.57,0.9,2.21,1.31,8,3,2024-04-29
H00208,Tintagel Colombo Trincomalee,Trincomalee,4.04,3.62,4.01,4.23,3,4,2024-05-04
H00209,Cinnamon Grand Colombo,Colombo,1.81,1.81,2.47,1.58,10,0,2024-06-05
H00210,Kings Pavilion Puttalam,Puttalam,2.39,3.0,2.93,2.45,0,7,2024-08-03
H00211,Cinnamon Grand Vavuniya,Vavuniya,3.09,3.15,2.36,2.3,10,2,2024-11-27
H00212,Jetwing Blue Sigiriya,Sigiriya,4.34,4.82,4.96,3.77,10,4,2024-07-24
H00213,Lighthouse Hotel Mirissa,Mirissa,1.8,2.22,2.24,2.04,10,5,2024-03-02
H00214,Amangalla Kandy,Kandy,4.31,4.79,4.67,3.84,4,6,2024-02-21
H00215,Tintagel Colombo Kegalle,Kegalle,3.59,2.77,4.04,2.75,12,4,2024-01-27
H00216,The Kandy House Hambantota,Hambantota,2.38,1.97,1.61,2.46,3,0,2024-11-20
H00217,The Kandy House Jaffna,Jaffna,1.98,1.96,2.03,2.41,2,3,2024-04-17
H00218,Tintagel Colombo Puttalam,Puttalam,3.46,2.53,3.21,2.71,11,0,2024-09-30
H00219,Kings Pavilion Galle,Galle,4.09,3.81,4.28,3.36,6,3,2024-03-17
H00220,Lighthouse Hotel Kurunegala,Kurunegala,3.09,2.56,3.15,2.47,7,6,2024-07-10
H00221,Araliya Beach Kilinochchi,Kilinochchi,3.95,3.16,3.32,4.24,5,10,2024-07-19
H00222,Jetwing Blue Badulla,Badulla,4.52,5.25,4.3,3.33,11,4,2024-05-05
H00223,Araliya Beach Batticaloa,Batticaloa,3.4,4.14,3.67,3.82,7,6,2024-10-18
H00224,The Kandy House Puttalam,Puttalam,2.34,1.82,2.85,1.87,15,10,2024-12-22
H00225,Araliya Beach Negombo,Negombo,3.22,3.96,3.9,2.07,13,7,2024-04-10
H00226,Jetwing Blue Kurunegala,Kurunegala,2.16,2.23,2.02,2.1,12,7,2024-04-25
H00227,Araliya Beach Trincomalee,Trincomalee,3.6,3.85,3.89,3.66,1,9,2024-11-13
H00228,Araliya Beach Anuradhapura,Anuradhapura,3.35,3.32,3.2,3.29,14,2,2024-06-22
H00229,Villa Rosa Kalutara,Kalutara,3.21,3.29,2.86,2.05,9,5,2024-05-07
H00230,Villa Rosa Anuradhapura,Anuradhapura,4.36,5.02,4.33,3.23,8,6,2024-10-13
H00231,Araliya Beach Matale,Matale,1.73,2.29,1.49,1.15,5,0,2024-12-29
H00232,Cinnamon Grand Kilinochchi,Kilinochchi,3.39,3.86,4.14,3.85,1,5,2024-03-31
H00233,98 Acres Resort Ampara,Ampara,2.01,2.5,1.85,1.47,5,5,2024-11-04
H00234,Araliya Beach Ampara,Ampara,3.44,3.6,3.32,3.06,1,0,2024-07-24
H00235,Kings Pavilion Mannar,Mannar,3.91,4.35,3.48,3.6,10,9,2024-02-28
H00236,Kings Pavilion Kalutara,Kalutara,3.85,4.29,4.56,2.68,15,7,2024-12-14
H00237,Amangalla Trincomalee,Trincomalee,3.04,3.93,3.82,2.27,15,8,2024-07-01
H00238,Lighthouse Hotel Vavuniya,Vavuniya,2.85,3.59,2.31,2.39,15,7,2024-02-27
H00239,Lighthouse Hotel Ella,Ella,3.01,2.12,2.48,3.38,3,8,2024-04-14
H00240,Amangalla Vavuniya,Vavuniya,3.72,3.85,3.43,3.85,14,1,2024-12-28
H00241,Kings Pavilion Puttalam,Puttalam,3.33,3.89,3.13,3.1,10,0,2024-10-21
H00242,Tintagel Colombo Monaragala,Monaragala,2.93,3.79,3.61,2.71,12,7,2024-12-14
H00243,The Kandy House Ella,Ella,4.67,3.79,4.52,4.95,12,5,2024-06-26
H00244,Kings Pavilion Negombo,Negombo,4.88,5.01,4.46,4.42,9,3,2024-02-06
H00245,Araliya Beach Mirissa,Mirissa,2.32,3.07,2.61,2.77,9,10,2024-11-05
H00246,Kings Pavilion Puttalam,Puttalam,3.39,4.18,3.22,2.45,12,0,2024-12-15
H00247,Jetwing Blue Monaragala,Monaragala,1.81,1.93,1.28,1.05,11,2,2024-02-24
H00248,Tintagel Colombo Vavuniya,Vavuniya,3.41,2.96,3.03,3.79,7,7,2024-12-23
H00249,The Kandy House Ampara,Ampara,3.18,3.8,2.4,2.95,12,6,2024-02-24
H00250,Jetwing Blue Mirissa,Mirissa,4.73,5.73,5.39,4.94,11,3,2024-08-24
H00251,Amangalla Monaragala,Monaragala,2.48,2.96,2.66,2.66,7,2,2024-07-15
H00252,Araliya Beach Kegalle,Kegalle,3.28,3.98,3.88,3.42,14,3,2024-05-21
H00253,The Kandy House Kurunegala,Kurunegala,2.08,1.79,1.87,1.87,14,5,2024-05-23
H00254,Villa Rosa Hambantota,Hambantota,3.45,3.34,3.97,2.26,13,10,2024-02-19
H00255,Araliya Beach Gampaha,Gampaha,4.41,5.0,4.22,4.14,15,2,2024-07-18
H00256,Lighthouse Hotel Nuwara_Eliya,Nuwara_Eliya,3.85,4.71,3.77,3.64,12,2,2024-09-07
H00257,Villa Rosa Anuradhapura,Anuradhapura,1.98,1.06,1.58,1.87,9,2,2024-10-16
H00258,Kings Pavilion Jaffna,Jaffna,4.91,5.39,4.63,4.86,7,4,2024-06-03
H00259,Tintagel Colombo Hambantota,Hambantota,4.62,4.68,3.93,4.71,15,7,2024-05-16
H00260,The Kandy House Mirissa,Mirissa,1.95,1.75,1.46,0.91,8,10,2024-05-15
H00261,Tintagel Colombo Matale,Matale,3.63,3.18,2.86,3.32,1,10,2024-10-05
H00262,Tintagel Colombo Batticaloa,Batticaloa,2.06,2.65,1.81,1.66,4,6,2024-09-18
H00263,Kings Pavilion Nuwara_Eliya,Nuwara_Eliya,3.54,3.14,3.16,3.27,14,2,2024-08-19
H00264,Araliya Beach Kegalle,Kegalle,2.07,1.8,1.59,2.51,12,5,2024-11-03
H00265,Araliya Beach Kurunegala,Kurunegala,3.45,3.5,2.8,2.44,1,7,2024-10-22
H00266,The Kandy House Monaragala,Monaragala,4.09,4.08,4.58,3.59,9,9,2024-12-14
H00267,Jetwing Blue Ratnapura,Ratnapura,3.59,3.68,2.83,3.38,15,5,2024-08-10
H00268,Lighthouse Hotel Negombo,Negombo,4.9,5.33,5.25,4.03,12,10,2024-11-09
H00269,Cinnamon Grand Matara,Matara,4.55,5.25,4.22,3.83,13,8,2024-01-04
H00270,Araliya Beach Badulla,Badulla,3.52,3.77,3.71,4.02,11,6,2024-04-16
H00271,98 Acres Resort Matara,Matara,2.27,1.92,1.52,1.95,5,9,2024-08-06
H00272,Lighthouse Hotel Hambantota,Hambantota,3.43,4.19,3.17,3.58,3,5,2024-01-13
H00273,98 Acres Resort Kilinochchi,Kilinochchi,3.11,2.91,3.41,1.95,3,1,2024-04-06
H00274,The Kandy House Ella,Ella,3.14,2.41,3.71,2.83,15,5,2024-03-25
